Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID,Chunk
PD53943e_lo0068,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254,Placenta.0
PD53943e_lo0037,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254,Placenta.0
PD53943e_lo0043,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254,Placenta.0
PD53943e_lo0038,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254,Placenta.0
PD53943y_lo0034,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254,Placenta.0
