Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943mt,Gut,Gut,Gut_outlier,Gut,Gut,3186
PD53943mu,Gut,Gut,Gut,Gut,Gut,3186
PD53943mv,Gut,Gut,Gut,Gut,Gut,3186
PD53943mw,Gut,Gut,Gut,Gut,Gut,3186
PD53943mx,Gut,Gut,Gut_outlier,Gut,Gut,3186
PD53943my,Gut,Gut,Gut,Gut,Gut,3186
PD53943mz,Gut,Gut,Gut,Gut,Gut,3186
PD53943na,Gut,Gut,Gut,Gut,Gut,3186
PD53943nb,Gut,Gut,Gut_outlier,Gut,Gut,3186
PD53943nc,Gut,Gut,Gut,Gut,Gut,3186
PD53943nd,Gut,Gut,Gut,Gut,Gut,3186
PD53943ne,Gut,Gut,Gut,Gut,Gut,3186
PD53943nf,Gut,Gut,Gut,Gut,Gut,3186
PD53943ng,Gut,Gut,Gut,Gut,Gut,3186
PD53943nh,Gut,Gut,Gut,Gut,Gut,3186
PD53943ni,Gut,Gut,Gut,Gut,Gut,3186
PD53943nj,Gut,Gut,Gut,Gut,Gut,3186
PD53943nk,Gut,Gut,Gut,Gut,Gut,3186
PD53943nl,Gut,Gut,Gut,Gut,Gut,3186
PD53943nm,Gut,Gut,Gut,Gut,Gut,3186
PD53943nn,Gut,Gut,Gut,Gut,Gut,3186
PD53943no,Gut,Gut,Gut,Gut,Gut,3186
PD53943np,Gut,Gut,Gut_outlier,Gut,Gut,3186
PD53943nq,Gut,Gut,Gut,Gut,Gut,3186
PD53943nr,Gut,Gut,Gut,Gut,Gut,3186
PD53943ns,Gut,Gut,Gut,Gut,Gut,3186
PD53943nt,Gut,Gut,Gut,Gut,Gut,3186
PD53943nu,Gut,Gut,Gut,Gut,Gut,3186
PD53943nv,Gut,Gut,Gut,Gut,Gut,3186
PD53943nw,Gut,Gut,Gut,Gut,Gut,3186
PD53943nx,Gut,Gut,Gut,Gut,Gut,3186
PD53943ny,Gut,Gut,Gut,Gut,Gut,3186
PD53943nz,Gut,Gut,Gut,Gut,Gut,3186
PD53943oa,Gut,Gut,Gut,Gut,Gut,3186
PD53943ob,Gut,Gut,Gut,Gut,Gut,3186
PD53943af_lo0001,Placenta,Mesenchymal core,Placenta,Bottom left,placenta bottom left,2855
PD53943n_lo0019,ADRENAL PD53943n B1-C2-S4-5,Foetal zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0037,ADRENAL PD53943n B1-C2-S4-5,Foetal zone,Adrenal,Right,adrenal right,3581
