Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943ae_lo0075,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0076,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0035,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0053,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0051,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0052,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0058,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0040,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0045,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0002,Left_leg,Skeletal muscle,Leg,Left,leg left,2855
PD53943ae_lo0069,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0007,Left_leg,Cartilage,Leg,Left,leg left,2855
PD53943ae_lo0038,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0041,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0042,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0037,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0044,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0001,Left_leg,Skeletal muscle,Leg,Left,leg left,2855
PD53943ae_lo0065,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0043,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0062,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0063,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0060,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0066,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0077,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0078,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0064,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0061,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0080,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0081,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943y_lo0042,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0041,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0040,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943ag_lo0013,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
PD53943ag_lo0014,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
