Sample_ID,Histo,regions,chunk
PD53943y_lo0028,Top_right,Top_right,Placenta
PD53943y_lo0035,Top_right,Top_right,Placenta
PD53943e_lo0068,Bottom_right,Bottom_right,Placenta
PD53943e_lo0038,Bottom_right,Bottom_right,Placenta
PD53943d_lo0008,Top_left,Top_left,Placenta
PD53943d_lo0006,Top_left,Top_left,Placenta
PD53943af_lo0008,Bottom_left,Bottom_left,Placenta
